index	Chrs	start	end	number	genome
1457	Chr11	81600000	81700000	1	A
1458	Chr11	82650000	82750000	0	A
1459	Chr11	84100000	84200000	1	A
1460	Chr11	85000000	85100000	1	A
1461	Chr11	85650000	85750000	1	A
1462	Chr11	89200000	89300000	0	A
1463	Chr11	91450000	91550000	1	A
1464	Chr11	92000000	92100000	0	A
1465	Chr11	92600000	92700000	0	A
1466	Chr11	95000000	95100000	3	A
1467	Chr11	95900000	96000000	3	A
1468	Chr11	96200000	96300000	1	A
1469	Chr11	97850000	97950000	3	A
1470	Chr11	99150000	99250000	4	A
1471	Chr11	99400000	99500000	5	A
1472	Chr11	101500000	101600000	0	A
1473	Chr11	103100000	103200000	7	A
1474	Chr11	104050000	104150000	4	A
1475	Chr11	104700000	104800000	1	A
1476	Chr11	106250000	106350000	5	A
1477	Chr11	106800000	106900000	2	A
1478	Chr11	109350000	109450000	8	A
1479	Chr11	109550000	109650000	5	A
1480	Chr11	111850000	111950000	1	A
1481	Chr11	114900000	115000000	7	A
1482	Chr11	115800000	115900000	7	A
1483	Chr11	116650000	116750000	7	A
1484	Chr11	117650000	117750000	6	A
1485	Chr11	118200000	118300000	4	A
1486	Chr11	119100000	119200000	12	A
1487	Chr11	119700000	119800000	6	A
1488	Chr11	120100000	120200000	6	A
1489	Chr11	120750000	120850000	12	A
1490	Chr11	121050000	121150000	7	A
1491	Chr11	121800000	121900000	9	A
1492	Chr11	122100000	122200000	8	A
1493	Chr11	126000000	126100000	13	A
1494	Chr11	126350000	126450000	6	A
1495	Chr11	128400000	128500000	6	A
1496	Chr11	128650000	128750000	12	A
1497	Chr11	130200000	130300000	1	A
1498	Chr11	130900000	131000000	3	A
1499	Chr11	132250000	132350000	5	A
1500	Chr11	134550000	134650000	7	A
1501	Chr11	135450000	135550000	10	A
1502	Chr11	136700000	136800000	9	A
1503	Chr11	137750000	137850000	11	A
1504	Chr11	0	50000	3	A
1505	Chr11	5000000	5100000	20	A
1506	Chr11	7500000	7600000	16	A
1507	Chr11	9450000	9550000	7	A
1508	Chr11	10250000	10350000	10	A
1509	Chr11	11150000	11250000	11	A
1510	Chr11	11950000	12050000	8	A
1511	Chr11	12350000	12450000	10	A
1512	Chr11	15600000	15700000	12	A
1513	Chr11	17050000	17150000	8	A
1514	Chr11	17850000	17950000	11	A
1515	Chr11	18500000	18600000	9	A
1516	Chr11	20600000	20700000	9	A
1517	Chr11	22550000	22650000	10	A
1518	Chr11	23600000	23700000	9	A
1519	Chr11	26900000	27000000	8	A
1520	Chr11	29500000	29600000	8	A
1521	Chr11	36450000	36550000	3	A
1522	Chr11	38150000	38250000	7	A
1523	Chr11	42600000	42700000	7	A
1524	Chr11	44050000	44150000	2	A
1525	Chr11	48000000	48100000	4	A
1526	Chr11	50750000	50850000	2	A
1527	Chr11	52850000	52950000	2	A
1528	Chr11	59650000	59750000	5	A
1529	Chr11	65950000	66050000	3	A
1530	Chr11	67400000	67500000	2	A
1531	Chr11	72500000	72600000	1	A
1532	Chr11	74600000	74700000	0	A
1533	Chr11	76550000	76650000	2	A
1534	Chr11	84700000	84800000	0	A
1535	Chr11	87450000	87550000	0	A
1536	Chr11	91650000	91750000	5	A
1537	Chr11	93200000	93300000	0	A
1538	Chr11	94000000	94100000	4	A
1539	Chr11	96500000	96600000	4	A
1540	Chr11	99750000	99850000	3	A
1541	Chr11	101200000	101300000	0	A
1542	Chr11	110250000	110350000	2	A
1543	Chr11	111150000	111250000	3	A
1544	Chr11	116150000	116250000	7	A
1545	Chr11	121400000	121500000	5	A
1546	Chr11	123350000	123450000	14	A
1547	Chr11	133050000	133150000	13	A
1548	Chr11	133450000	133550000	8	A
1549	Chr11	135950000	136050000	8	A
1550	Chr11	137000000	137100000	6	A
1551	Chr12	83800000	83900000	1	A
1552	Chr12	3100000	3200000	10	A
1553	Chr12	6200000	6300000	11	A
1554	Chr12	49200000	49300000	2	A
1555	Chr12	68150000	68250000	2	A
1556	Chr12	112150000	112250000	15	A
1557	Chr12	750000	850000	13	A
1558	Chr12	1500000	1600000	12	A
1559	Chr12	5350000	5450000	7	A
1560	Chr12	6600000	6700000	3	A
1561	Chr12	7700000	7800000	8	A
1562	Chr12	8250000	8350000	6	A
1563	Chr12	8700000	8800000	4	A
1564	Chr12	10200000	10300000	7	A
1565	Chr12	11200000	11300000	6	A
1566	Chr12	12400000	12500000	3	A
1567	Chr12	13750000	13850000	9	A
1568	Chr12	14100000	14200000	8	A
1569	Chr12	14800000	14900000	7	A
1570	Chr12	15400000	15500000	6	A
1571	Chr12	17600000	17700000	5	A
1572	Chr12	19000000	19100000	2	A
1573	Chr12	19450000	19550000	3	A
1574	Chr12	21400000	21500000	2	A
1575	Chr12	21800000	21900000	2	A
1576	Chr12	22200000	22300000	0	A
1577	Chr12	23100000	23200000	2	A
1578	Chr12	23850000	23950000	0	A
1579	Chr12	24700000	24800000	8	A
1580	Chr12	27650000	27750000	0	A
1581	Chr12	28100000	28200000	8	A
1582	Chr12	29700000	29800000	1	A
1583	Chr12	30100000	30200000	2	A
1584	Chr12	32200000	32300000	0	A
1585	Chr12	34000000	34100000	5	A
1586	Chr12	35200000	35300000	0	A
1587	Chr12	36150000	36250000	1	A
1588	Chr12	36750000	36850000	2	A
1589	Chr12	37450000	37550000	2	A
1590	Chr12	38050000	38150000	1	A
1591	Chr12	40200000	40300000	0	A
1592	Chr12	40750000	40850000	1	A
1593	Chr12	42500000	42600000	2	A
1594	Chr12	43050000	43150000	5	A
1595	Chr12	45600000	45700000	2	A
1596	Chr12	46250000	46350000	3	A
1597	Chr12	46700000	46800000	2	A
1598	Chr12	47350000	47450000	1	A
1599	Chr12	48350000	48450000	0	A
1600	Chr12	49600000	49700000	1	A
1601	Chr12	51050000	51150000	3	A
1602	Chr12	51850000	51950000	2	A
1603	Chr12	53050000	53150000	1	A
1604	Chr12	55300000	55400000	1	A
1605	Chr12	56050000	56150000	0	A
1606	Chr12	57900000	58000000	1	A
1607	Chr12	59950000	60050000	1	A
1608	Chr12	60600000	60700000	1	A
1609	Chr12	60900000	61000000	0	A
1610	Chr12	62050000	62150000	0	A
1611	Chr12	64700000	64800000	0	A
1612	Chr12	66300000	66400000	1	A
1613	Chr12	71400000	71500000	0	A
1614	Chr12	72550000	72650000	0	A
1615	Chr12	73100000	73200000	2	A
1616	Chr12	74250000	74350000	1	A
1617	Chr12	74700000	74800000	1	A
1618	Chr12	75300000	75400000	5	A
1619	Chr12	77000000	77100000	3	A
1620	Chr12	78300000	78400000	0	A
1621	Chr12	80250000	80350000	1	A
1622	Chr12	81000000	81100000	1	A
1623	Chr12	81500000	81600000	0	A
1624	Chr12	81900000	82000000	0	A
1625	Chr12	86600000	86700000	5	A
1626	Chr12	86900000	87000000	11	A
1627	Chr12	87250000	87350000	6	A
1628	Chr12	87900000	88000000	6	A
1629	Chr12	88450000	88550000	6	A
1630	Chr12	89300000	89400000	6	A
1631	Chr12	89900000	90000000	6	A
1632	Chr12	92900000	93000000	12	A
1633	Chr12	93400000	93500000	5	A
1634	Chr12	95000000	95100000	5	A
1635	Chr12	95550000	95650000	9	A
1636	Chr12	96300000	96400000	9	A
1637	Chr12	97050000	97150000	4	A
1638	Chr12	97600000	97700000	7	A
1639	Chr12	98400000	98500000	5	A
1640	Chr12	99400000	99500000	5	A
1641	Chr12	100450000	100550000	5	A
1642	Chr12	100700000	100800000	5	A
1643	Chr12	101250000	101350000	4	A
1644	Chr12	102100000	102200000	4	A
1645	Chr12	102550000	102650000	5	A
1646	Chr12	103200000	103300000	8	A
1647	Chr12	104250000	104350000	9	A
1648	Chr12	105250000	105350000	9	A
1649	Chr12	105600000	105700000	5	A
1650	Chr12	106400000	106500000	4	A
1651	Chr12	106600000	106700000	7	A
1652	Chr12	107150000	107250000	9	A
1653	Chr12	108350000	108450000	5	A
1654	Chr12	108850000	108950000	12	A
1655	Chr12	109650000	109750000	11	A
1656	Chr12	110150000	110250000	12	A
1657	Chr12	110550000	110650000	9	A
1658	Chr12	110950000	111050000	8	A
1659	Chr12	111400000	111500000	10	A
1660	Chr12	112800000	112900000	17	A
1661	Chr12	113300000	113400000	13	A
1662	Chr12	114350000	114450000	14	A
1663	Chr12	115000000	115100000	13	A
1664	Chr12	115650000	115750000	12	A
1665	Chr12	116450000	116550000	20	A
1666	Chr12	117250000	117350000	13	A
1667	Chr12	117700000	117800000	10	A
1668	Chr12	118050000	118150000	15	A
1669	Chr12	119850000	119950000	15	A
1670	Chr12	0	50000	7	A
1671	Chr12	1200000	1300000	8	A
1672	Chr12	3700000	3800000	9	A
1673	Chr12	7350000	7450000	7	A
1674	Chr12	13000000	13100000	3	A
1675	Chr12	15750000	15850000	3	A
1676	Chr12	16150000	16250000	3	A
1677	Chr12	24250000	24350000	3	A
1678	Chr12	33300000	33400000	5	A
1679	Chr12	40000000	40100000	4	A
1680	Chr12	41700000	41800000	1	A
1681	Chr12	45250000	45350000	2	A
1682	Chr12	53900000	54000000	1	A
1683	Chr12	54550000	54650000	1	A
1684	Chr12	63600000	63700000	0	A
1685	Chr12	67000000	67100000	0	A
1686	Chr12	69600000	69700000	1	A
1687	Chr12	70650000	70750000	1	A
1688	Chr12	85600000	85700000	2	A
1689	Chr12	90450000	90550000	9	A
1690	Chr12	91500000	91600000	11	A
1691	Chr12	93850000	93950000	5	A
1692	Chr12	99900000	100000000	5	A
1693	Chr12	103950000	104050000	5	A
1694	Chr12	113800000	113900000	6	A
1695	Chr13	6250000	6350000	4	A
1696	Chr13	17750000	17850000	0	A
1697	Chr13	61850000	61950000	0	A
1698	Chr13	63900000	64000000	0	A
1699	Chr13	73400000	73500000	0	A
1700	Chr13	91200000	91300000	2	A
1701	Chr13	94350000	94450000	1	A
1702	Chr13	103750000	103850000	3	A
1703	Chr13	112100000	112200000	10	A
1704	Chr13	116300000	116400000	6	A
1705	Chr13	126850000	126950000	11	A
1706	Chr13	1150000	1250000	14	A
1707	Chr13	1500000	1600000	13	A
1708	Chr13	2600000	2700000	14	A
1709	Chr13	2850000	2950000	15	A
1710	Chr13	3450000	3550000	8	A
1711	Chr13	4500000	4600000	3	A
1712	Chr13	5700000	5800000	8	A
1713	Chr13	6850000	6950000	2	A
1714	Chr13	7800000	7900000	9	A
1715	Chr13	8700000	8800000	12	A
1716	Chr13	9600000	9700000	5	A
1717	Chr13	10550000	10650000	3	A
1718	Chr13	10950000	11050000	10	A
1719	Chr13	11700000	11800000	6	A
1720	Chr13	12400000	12500000	15	A
1721	Chr13	15250000	15350000	3	A
1722	Chr13	18050000	18150000	3	A
1723	Chr13	19250000	19350000	1	A
1724	Chr13	19600000	19700000	4	A
1725	Chr13	20150000	20250000	0	A
1726	Chr13	21750000	21850000	2	A
1727	Chr13	22150000	22250000	0	A
1728	Chr13	23500000	23600000	3	A
1729	Chr13	24700000	24800000	4	A
1730	Chr13	25000000	25100000	0	A
1731	Chr13	26950000	27050000	3	A
1732	Chr13	28750000	28850000	5	A
1733	Chr13	29000000	29100000	6	A
1734	Chr13	29800000	29900000	4	A
1735	Chr13	30900000	31000000	1	A
1736	Chr13	31500000	31600000	2	A
1737	Chr13	31700000	31800000	2	A
1738	Chr13	32600000	32700000	3	A
1739	Chr13	33900000	34000000	1	A
1740	Chr13	35950000	36050000	0	A
1741	Chr13	36800000	36900000	0	A
1742	Chr13	38400000	38500000	0	A
1743	Chr13	39400000	39500000	3	A
1744	Chr13	40450000	40550000	4	A
1745	Chr13	41200000	41300000	1	A
1746	Chr13	42150000	42250000	2	A
1747	Chr13	45850000	45950000	1	A
1748	Chr13	47350000	47450000	1	A
1749	Chr13	48950000	49050000	1	A
1750	Chr13	51950000	52050000	1	A
1751	Chr13	52950000	53050000	1	A
1752	Chr13	53200000	53300000	1	A
1753	Chr13	54700000	54800000	2	A
1754	Chr13	57200000	57300000	0	A
1755	Chr13	58900000	59000000	0	A
1756	Chr13	63250000	63350000	4	A
1757	Chr13	64600000	64700000	2	A
1758	Chr13	68350000	68450000	1	A
1759	Chr13	68800000	68900000	1	A
1760	Chr13	69650000	69750000	0	A
1761	Chr13	71000000	71100000	2	A
1762	Chr13	71500000	71600000	0	A
1763	Chr13	72600000	72700000	2	A
1764	Chr13	73750000	73850000	0	A
1765	Chr13	74100000	74200000	0	A
1766	Chr13	79250000	79350000	1	A
1767	Chr13	81300000	81400000	4	A
1768	Chr13	82400000	82500000	1	A
1769	Chr13	83000000	83100000	4	A
1770	Chr13	83450000	83550000	4	A
1771	Chr13	83700000	83800000	0	A
1772	Chr13	84400000	84500000	2	A
1773	Chr13	85000000	85100000	1	A
1774	Chr13	88550000	88650000	2	A
1775	Chr13	89750000	89850000	6	A
1776	Chr13	90650000	90750000	2	A
1777	Chr13	91550000	91650000	2	A
1778	Chr13	91850000	91950000	0	A
1779	Chr13	92400000	92500000	2	A
1780	Chr13	93000000	93100000	3	A
1781	Chr13	93700000	93800000	2	A
1782	Chr13	94750000	94850000	4	A
1783	Chr13	96200000	96300000	2	A
1784	Chr13	96650000	96750000	3	A
1785	Chr13	97300000	97400000	2	A
1786	Chr13	97700000	97800000	2	A
1787	Chr13	98250000	98350000	1	A
1788	Chr13	99850000	99950000	8	A
1789	Chr13	100700000	100800000	1	A
1790	Chr13	101100000	101200000	3	A
1791	Chr13	101900000	102000000	2	A
1792	Chr13	102200000	102300000	4	A
1793	Chr13	105250000	105350000	5	A
1794	Chr13	106200000	106300000	4	A
1795	Chr13	106750000	106850000	2	A
1796	Chr13	108750000	108850000	11	A
1797	Chr13	109300000	109400000	2	A
1798	Chr13	111200000	111300000	6	A
1799	Chr13	111850000	111950000	4	A
1800	Chr13	112500000	112600000	5	A
1801	Chr13	113100000	113200000	3	A
1802	Chr13	113350000	113450000	7	A
1803	Chr13	113700000	113800000	10	A
1804	Chr13	114550000	114650000	6	A
1805	Chr13	115800000	115900000	6	A
1806	Chr13	117300000	117400000	11	A
1807	Chr13	118150000	118250000	4	A
1808	Chr13	118700000	118800000	4	A
1809	Chr13	119400000	119500000	9	A
1810	Chr13	119600000	119700000	5	A
1811	Chr13	122550000	122650000	11	A
1812	Chr13	123000000	123100000	8	A
1813	Chr13	124850000	124950000	13	A
1814	Chr13	128100000	128200000	10	A
1815	Chr13	129450000	129550000	22	A
1816	Chr13	0	50000	4	A
1817	Chr13	2250000	2350000	15	A
1818	Chr13	12850000	12950000	1	A
1819	Chr13	14050000	14150000	13	A
1820	Chr13	14700000	14800000	3	A
1821	Chr13	21250000	21350000	1	A
1822	Chr13	24000000	24100000	2	A
1823	Chr13	28450000	28550000	2	A
1824	Chr13	32250000	32350000	1	A
1825	Chr13	35400000	35500000	0	A
1826	Chr13	40000000	40100000	4	A
1827	Chr13	43650000	43750000	1	A
1828	Chr13	46150000	46250000	2	A
1829	Chr13	46400000	46500000	5	A
1830	Chr13	52450000	52550000	0	A
1831	Chr13	60950000	61050000	0	A
1832	Chr13	64900000	65000000	0	A
1833	Chr13	67250000	67350000	1	A
1834	Chr13	69100000	69200000	0	A
1835	Chr13	77600000	77700000	0	A
1836	Chr13	80350000	80450000	5	A
1837	Chr13	80750000	80850000	1	A
1838	Chr13	87300000	87400000	2	A
1839	Chr13	92150000	92250000	3	A
1840	Chr13	93350000	93450000	3	A
1841	Chr13	94900000	95000000	4	A
1842	Chr13	95450000	95550000	2	A
1843	Chr13	102650000	102750000	5	A
1844	Chr13	104600000	104700000	1	A
1845	Chr13	107100000	107200000	6	A
1846	Chr13	107500000	107600000	10	A
1847	Chr13	107900000	108000000	3	A
1848	Chr13	108400000	108500000	5	A
1849	Chr13	110000000	110100000	4	A
1850	Chr13	110500000	110600000	6	A
1851	Chr13	110900000	111000000	5	A
1852	Chr13	120850000	120950000	6	A
1853	Chr13	121400000	121500000	12	A
1854	Chr13	122050000	122150000	9	A
1855	Chr13	123500000	123600000	14	A
1856	Chr13	125700000	125800000	14	A
1857	Chr13	126250000	126350000	4	A
1858	Chr13	127150000	127250000	13	A
1859	Chr01	33500000	33600000	6	D
1860	Chr01	50300000	50400000	14	D
1861	Chr01	950000	1050000	16	D
1862	Chr01	7300000	7400000	5	D
1863	Chr01	11450000	11550000	2	D
1864	Chr01	13600000	13700000	5	D
1865	Chr01	14600000	14700000	7	D
1866	Chr01	15650000	15750000	5	D
1867	Chr01	17750000	17850000	4	D
1868	Chr01	23050000	23150000	3	D
1869	Chr01	24050000	24150000	0	D
1870	Chr01	34550000	34650000	4	D
1871	Chr01	46050000	46150000	12	D
1872	Chr01	48200000	48300000	7	D
1873	Chr01	1350000	1450000	10	D
1874	Chr01	2450000	2550000	8	D
1875	Chr01	3500000	3600000	7	D
1876	Chr01	4000000	4100000	10	D
1877	Chr01	4400000	4500000	12	D
1878	Chr01	5350000	5450000	14	D
1879	Chr01	5850000	5950000	13	D
1880	Chr01	7000000	7100000	9	D
1881	Chr01	7850000	7950000	4	D
1882	Chr01	8600000	8700000	11	D
1883	Chr01	9000000	9100000	13	D
1884	Chr01	9750000	9850000	14	D
1885	Chr01	11050000	11150000	14	D
1886	Chr01	11850000	11950000	8	D
1887	Chr01	12400000	12500000	6	D
1888	Chr01	12800000	12900000	6	D
1889	Chr01	14100000	14200000	9	D
1890	Chr01	15300000	15400000	6	D
1891	Chr01	17150000	17250000	5	D
1892	Chr01	19250000	19350000	5	D
1893	Chr01	20000000	20100000	6	D
1894	Chr01	20250000	20350000	2	D
1895	Chr01	20800000	20900000	2	D
1896	Chr01	22200000	22300000	5	D
1897	Chr01	22500000	22600000	4	D
1898	Chr01	23450000	23550000	2	D
1899	Chr01	25000000	25100000	2	D
1900	Chr01	25800000	25900000	2	D
1901	Chr01	27450000	27550000	2	D
1902	Chr01	28000000	28100000	1	D
1903	Chr01	31100000	31200000	5	D
1904	Chr01	31500000	31600000	3	D
1905	Chr01	31950000	32050000	4	D
1906	Chr01	32700000	32800000	3	D
1907	Chr01	33000000	33100000	6	D
1908	Chr01	34850000	34950000	4	D
1909	Chr01	35200000	35300000	4	D
1910	Chr01	35700000	35800000	3	D
1911	Chr01	36000000	36100000	3	D
1912	Chr01	36750000	36850000	4	D
1913	Chr01	37200000	37300000	8	D
1914	Chr01	38600000	38700000	6	D
1915	Chr01	39400000	39500000	6	D
1916	Chr01	41350000	41450000	5	D
1917	Chr01	41800000	41900000	10	D
1918	Chr01	42800000	42900000	4	D
1919	Chr01	43450000	43550000	7	D
1920	Chr01	44400000	44500000	9	D
1921	Chr01	44950000	45050000	9	D
1922	Chr01	45350000	45450000	8	D
1923	Chr01	45800000	45900000	9	D
1924	Chr01	46850000	46950000	6	D
1925	Chr01	47250000	47350000	10	D
1926	Chr01	47750000	47850000	8	D
1927	Chr01	48450000	48550000	10	D
1928	Chr01	48950000	49050000	9	D
1929	Chr01	49800000	49900000	10	D
1930	Chr01	0	50000	14	D
1931	Chr01	1600000	1700000	12	D
1932	Chr01	6300000	6400000	8	D
1933	Chr01	7500000	7600000	4	D
1934	Chr01	8150000	8250000	7	D
1935	Chr01	16150000	16250000	4	D
1936	Chr01	18750000	18850000	3	D
1937	Chr01	24650000	24750000	2	D
1938	Chr01	26350000	26450000	3	D
1939	Chr01	28600000	28700000	3	D
1940	Chr01	29100000	29200000	4	D
1941	Chr01	32400000	32500000	3	D
1942	Chr01	33300000	33400000	3	D
1943	Chr01	34100000	34200000	5	D
1944	Chr01	36200000	36300000	1	D
1945	Chr01	37750000	37850000	3	D
1946	Chr01	40650000	40750000	4	D
1947	Chr01	40900000	41000000	3	D
1948	Chr01	43650000	43750000	7	D
1949	Chr01	44050000	44150000	9	D
1950	Chr01	44700000	44800000	9	D
1951	Chr01	52300000	52400000	12	D
1952	Chr02	2000000	2100000	5	D
1953	Chr02	6200000	6300000	6	D
1954	Chr02	23000000	23100000	1	D
1955	Chr02	28300000	28400000	8	D
1956	Chr02	29350000	29450000	6	D
1957	Chr02	48150000	48250000	14	D
1958	Chr02	750000	850000	15	D
1959	Chr02	2600000	2700000	14	D
1960	Chr02	3000000	3100000	10	D
1961	Chr02	3400000	3500000	7	D
1962	Chr02	3750000	3850000	10	D
1963	Chr02	4050000	4150000	11	D
1964	Chr02	4550000	4650000	10	D
1965	Chr02	5300000	5400000	9	D
1966	Chr02	5800000	5900000	7	D
1967	Chr02	6800000	6900000	3	D
1968	Chr02	7050000	7150000	1	D
1969	Chr02	7450000	7550000	4	D
1970	Chr02	7850000	7950000	7	D
1971	Chr02	9750000	9850000	5	D
1972	Chr02	10350000	10450000	5	D
1973	Chr02	10700000	10800000	4	D
1974	Chr02	11350000	11450000	4	D
1975	Chr02	11700000	11800000	2	D
1976	Chr02	13350000	13450000	5	D
1977	Chr02	14900000	15000000	5	D
1978	Chr02	15450000	15550000	5	D
1979	Chr02	15950000	16050000	2	D
1980	Chr02	17350000	17450000	3	D
1981	Chr02	17900000	18000000	5	D
1982	Chr02	18550000	18650000	4	D
1983	Chr02	19050000	19150000	1	D
1984	Chr02	19450000	19550000	1	D
1985	Chr02	20550000	20650000	2	D
1986	Chr02	20750000	20850000	3	D
1987	Chr02	21400000	21500000	3	D
1988	Chr02	22150000	22250000	2	D
1989	Chr02	23800000	23900000	1	D
1990	Chr02	24600000	24700000	3	D
1991	Chr02	27100000	27200000	10	D
1992	Chr02	27650000	27750000	4	D
1993	Chr02	29050000	29150000	4	D
1994	Chr02	29550000	29650000	5	D
1995	Chr02	30450000	30550000	5	D
1996	Chr02	31900000	32000000	5	D
1997	Chr02	32550000	32650000	5	D
1998	Chr02	32950000	33050000	7	D
1999	Chr02	33650000	33750000	6	D
2000	Chr02	34850000	34950000	4	D
2001	Chr02	35200000	35300000	5	D
2002	Chr02	35450000	35550000	10	D
2003	Chr02	35850000	35950000	3	D
2004	Chr02	36400000	36500000	7	D
2005	Chr02	36950000	37050000	8	D
2006	Chr02	38650000	38750000	6	D
2007	Chr02	39250000	39350000	7	D
2008	Chr02	39650000	39750000	6	D
2009	Chr02	40300000	40400000	4	D
2010	Chr02	41800000	41900000	10	D
2011	Chr02	42850000	42950000	10	D
2012	Chr02	44950000	45050000	9	D
2013	Chr02	45300000	45400000	12	D
2014	Chr02	46300000	46400000	7	D
2015	Chr02	0	50000	11	D
2016	Chr02	1050000	1150000	12	D
2017	Chr02	1450000	1550000	18	D
2018	Chr02	10100000	10200000	6	D
2019	Chr02	11150000	11250000	6	D
2020	Chr02	12350000	12450000	4	D
2021	Chr02	12850000	12950000	5	D
2022	Chr02	15750000	15850000	1	D
2023	Chr02	16800000	16900000	2	D
2024	Chr02	17200000	17300000	5	D
2025	Chr02	24250000	24350000	1	D
2026	Chr02	25450000	25550000	4	D
2027	Chr02	26500000	26600000	7	D
2028	Chr02	26750000	26850000	1	D
2029	Chr02	30950000	31050000	2	D
2030	Chr02	31750000	31850000	3	D
2031	Chr02	34350000	34450000	4	D
2032	Chr02	38300000	38400000	12	D
2033	Chr02	43650000	43750000	7	D
2034	Chr02	44200000	44300000	11	D
2035	Chr03	41850000	41950000	5	D
2036	Chr03	5150000	5250000	11	D
2037	Chr03	9400000	9500000	5	D
2038	Chr03	18850000	18950000	11	D
2039	Chr03	19850000	19950000	4	D
2040	Chr03	20900000	21000000	5	D
2041	Chr03	26150000	26250000	5	D
2042	Chr03	27250000	27350000	4	D
2043	Chr03	29300000	29400000	0	D
2044	Chr03	32450000	32550000	3	D
2045	Chr03	35650000	35750000	4	D
2046	Chr03	38700000	38800000	4	D
2047	Chr03	42950000	43050000	3	D
2048	Chr03	48200000	48300000	9	D
2049	Chr03	52400000	52500000	8	D
2050	Chr03	56550000	56650000	8	D
2051	Chr03	59750000	59850000	11	D
2052	Chr03	62900000	63000000	19	D
2053	Chr03	700000	800000	12	D
2054	Chr03	3800000	3900000	9	D
2055	Chr03	4950000	5050000	12	D
2056	Chr03	5700000	5800000	14	D
2057	Chr03	6100000	6200000	11	D
2058	Chr03	6600000	6700000	12	D
2059	Chr03	6900000	7000000	11	D
2060	Chr03	7150000	7250000	12	D
2061	Chr03	7600000	7700000	10	D
2062	Chr03	9000000	9100000	6	D
2063	Chr03	10150000	10250000	7	D
2064	Chr03	10650000	10750000	7	D
2065	Chr03	11750000	11850000	6	D
2066	Chr03	12750000	12850000	7	D
2067	Chr03	13300000	13400000	3	D
2068	Chr03	14150000	14250000	5	D
2069	Chr03	15200000	15300000	6	D
2070	Chr03	16050000	16150000	2	D
2071	Chr03	17300000	17400000	2	D
2072	Chr03	17650000	17750000	2	D
2073	Chr03	19250000	19350000	5	D
2074	Chr03	20300000	20400000	4	D
2075	Chr03	22350000	22450000	2	D
2076	Chr03	22750000	22850000	1	D
2077	Chr03	24500000	24600000	2	D
2078	Chr03	27750000	27850000	6	D
2079	Chr03	30850000	30950000	1	D
2080	Chr03	31250000	31350000	5	D
2081	Chr03	31950000	32050000	2	D
2082	Chr03	33800000	33900000	1	D
2083	Chr03	35300000	35400000	4	D
2084	Chr03	36400000	36500000	2	D
2085	Chr03	37950000	38050000	4	D
2086	Chr03	38350000	38450000	6	D
2087	Chr03	39900000	40000000	9	D
2088	Chr03	40600000	40700000	4	D
2089	Chr03	41100000	41200000	3	D
2090	Chr03	42450000	42550000	4	D
2091	Chr03	45200000	45300000	5	D
2092	Chr03	45600000	45700000	4	D
2093	Chr03	46300000	46400000	5	D
2094	Chr03	48600000	48700000	7	D
2095	Chr03	49000000	49100000	7	D
2096	Chr03	49750000	49850000	3	D
2097	Chr03	50650000	50750000	6	D
2098	Chr03	51950000	52050000	4	D
2099	Chr03	53050000	53150000	2	D
2100	Chr03	53550000	53650000	6	D
2101	Chr03	53800000	53900000	4	D
2102	Chr03	54700000	54800000	3	D
2103	Chr03	55050000	55150000	8	D
2104	Chr03	55950000	56050000	7	D
2105	Chr03	56200000	56300000	9	D
2106	Chr03	57900000	58000000	9	D
2107	Chr03	58500000	58600000	13	D
2108	Chr03	59150000	59250000	12	D
2109	Chr03	60350000	60450000	12	D
2110	Chr03	0	50000	15	D
2111	Chr03	4200000	4300000	17	D
2112	Chr03	21250000	21350000	6	D
2113	Chr03	21650000	21750000	3	D
2114	Chr03	22050000	22150000	5	D
2115	Chr03	24800000	24900000	2	D
2116	Chr03	25300000	25400000	2	D
2117	Chr03	25700000	25800000	2	D
2118	Chr03	35000000	35100000	6	D
2119	Chr03	42100000	42200000	3	D
2120	Chr03	43400000	43500000	5	D
2121	Chr03	51000000	51100000	7	D
2122	Chr03	57300000	57400000	15	D
2123	Chr03	59400000	59500000	18	D
2124	Chr03	62150000	62250000	16	D
2125	Chr04	2050000	2150000	19	D
2126	Chr04	13600000	13700000	10	D
2127	Chr04	19850000	19950000	3	D
2128	Chr04	27250000	27350000	3	D
2129	Chr04	29350000	29450000	4	D
2130	Chr04	650000	750000	9	D
2131	Chr04	1350000	1450000	18	D
2132	Chr04	3000000	3100000	15	D
2133	Chr04	3250000	3350000	12	D
2134	Chr04	3850000	3950000	12	D
2135	Chr04	4050000	4150000	14	D
2136	Chr04	4450000	4550000	11	D
2137	Chr04	4650000	4750000	6	D
2138	Chr04	4950000	5050000	5	D
2139	Chr04	5750000	5850000	9	D
2140	Chr04	6650000	6750000	7	D
2141	Chr04	7650000	7750000	5	D
2142	Chr04	8450000	8550000	9	D
2143	Chr04	8700000	8800000	5	D
2144	Chr04	10300000	10400000	13	D
2145	Chr04	10650000	10750000	1	D
2146	Chr04	11250000	11350000	8	D
2147	Chr04	11750000	11850000	5	D
2148	Chr04	12250000	12350000	3	D
2149	Chr04	13950000	14050000	5	D
2150	Chr04	14200000	14300000	7	D
2151	Chr04	15000000	15100000	6	D
2152	Chr04	15450000	15550000	2	D
2153	Chr04	16350000	16450000	7	D
2154	Chr04	16850000	16950000	3	D
2155	Chr04	17350000	17450000	2	D
2156	Chr04	17650000	17750000	4	D
