line	Chrs	start	end	TEcoverage	genome
1293	Chr01	105100000	105200000	0.5065100	A
1294	Chr01	106200000	106300000	0.5763400	A
1295	Chr01	106600000	106700000	0.6230400	A
1296	Chr01	107250000	107350000	0.6480200	A
1297	Chr01	108050000	108150000	0.5385200	A
1298	Chr01	108700000	108800000	0.4209300	A
1299	Chr01	109350000	109450000	0.4619900	A
1300	Chr01	113450000	113550000	0.5884200	A
1301	Chr01	114600000	114700000	0.3371700	A
1302	Chr01	115400000	115500000	0.5204800	A
1303	Chr01	115900000	116000000	0.4411600	A
1304	Chr01	118950000	119050000	0.7030500	A
1305	Chr01	119650000	119750000	0.4876600	A
1306	Chr01	120700000	120800000	0.3562200	A
1307	Chr01	122250000	122350000	0.2923800	A
1308	Chr01	122550000	122650000	0.3043300	A
1309	Chr01	123300000	123400000	0.2630800	A
1310	Chr01	0	50000	0.4405800	A
1311	Chr01	2250000	2350000	0.4166600	A
1312	Chr01	6300000	6400000	0.4063100	A
1313	Chr01	23600000	23700000	0.5926900	A
1314	Chr01	27400000	27500000	0.7587500	A
1315	Chr01	27800000	27900000	0.6959200	A
1316	Chr01	30950000	31050000	0.5777900	A
1317	Chr01	32900000	33000000	0.6558200	A
1318	Chr01	34500000	34600000	0.5737600	A
1319	Chr01	35400000	35500000	0.5788700	A
1320	Chr01	41300000	41400000	0.7006800	A
1321	Chr01	41950000	42050000	0.6145700	A
1322	Chr01	43400000	43500000	0.7328800	A
1323	Chr01	46150000	46250000	0.5261800	A
1324	Chr01	52300000	52400000	0.6046300	A
1325	Chr01	52700000	52800000	0.6739000	A
1326	Chr01	56500000	56600000	0.4886500	A
1327	Chr01	59000000	59100000	0.8148600	A
1328	Chr01	59900000	60000000	0.6777100	A
1329	Chr01	68300000	68400000	0.7391100	A
1330	Chr01	70650000	70750000	0.6859500	A
1331	Chr01	75900000	76000000	0.5904100	A
1332	Chr01	76300000	76400000	0.6808200	A
1333	Chr01	88500000	88600000	0.7858800	A
1334	Chr01	99250000	99350000	0.6223200	A
1335	Chr01	101200000	101300000	0.5813400	A
1336	Chr01	108400000	108500000	0.4789900	A
1337	Chr01	110650000	110750000	0.4874700	A
1338	Chr01	111150000	111250000	0.7089600	A
1339	Chr01	111700000	111800000	0.4977200	A
1340	Chr01	119950000	120050000	0.6804700	A
1341	Chr02	75400000	75500000	0.6152800	A
1342	Chr02	950000	1050000	0.2874400	A
1343	Chr02	5150000	5250000	0.6110100	A
1344	Chr02	23000000	23100000	0.5196200	A
1345	Chr02	26200000	26300000	0.6884300	A
1346	Chr02	59700000	59800000	0.6698000	A
1347	Chr02	68100000	68200000	0.4495600	A
1348	Chr02	81750000	81850000	0.8434000	A
1349	Chr02	82750000	82850000	0.6532600	A
1350	Chr02	86950000	87050000	0.6794600	A
1351	Chr02	108000000	108100000	0.3632200	A
1352	Chr02	111100000	111200000	0.5436300	A
1353	Chr02	1800000	1900000	0.3840000	A
1354	Chr02	2550000	2650000	0.6130500	A
1355	Chr02	3350000	3450000	0.3243300	A
1356	Chr02	4750000	4850000	0.4631200	A
1357	Chr02	12000000	12100000	0.8123800	A
1358	Chr02	12800000	12900000	0.7018400	A
1359	Chr02	13450000	13550000	0.5838300	A
1360	Chr02	14000000	14100000	0.6121300	A
1361	Chr02	16350000	16450000	0.6600500	A
1362	Chr02	19700000	19800000	0.6914100	A
1363	Chr02	20350000	20450000	0.7302100	A
1364	Chr02	22100000	22200000	0.5928400	A
1365	Chr02	24200000	24300000	0.7314400	A
1366	Chr02	24700000	24800000	0.6138300	A
1367	Chr02	26650000	26750000	0.6458900	A
1368	Chr02	27900000	28000000	0.6968200	A
1369	Chr02	28400000	28500000	0.7584200	A
1370	Chr02	28900000	29000000	0.6844200	A
1371	Chr02	32600000	32700000	0.7862600	A
1372	Chr02	34000000	34100000	0.8195000	A
1373	Chr02	34650000	34750000	0.7864600	A
1374	Chr02	35250000	35350000	0.6473600	A
1375	Chr02	37150000	37250000	0.8266500	A
1376	Chr02	38450000	38550000	0.7432900	A
1377	Chr02	39250000	39350000	0.6557300	A
1378	Chr02	42150000	42250000	0.6001200	A
1379	Chr02	47250000	47350000	0.7296500	A
1380	Chr02	48100000	48200000	0.7421600	A
1381	Chr02	49500000	49600000	0.6334400	A
1382	Chr02	50450000	50550000	0.6795300	A
1383	Chr02	50800000	50900000	0.7492800	A
1384	Chr02	51200000	51300000	0.8306200	A
1385	Chr02	52100000	52200000	0.7647500	A
1386	Chr02	54250000	54350000	0.8660500	A
1387	Chr02	54600000	54700000	0.6585400	A
1388	Chr02	56950000	57050000	0.8188500	A
1389	Chr02	59100000	59200000	0.7518800	A
1390	Chr02	60650000	60750000	0.6920600	A
1391	Chr02	63100000	63200000	0.9079400	A
1392	Chr02	64050000	64150000	0.5837500	A
1393	Chr02	64550000	64650000	0.6261200	A
1394	Chr02	65450000	65550000	0.6649600	A
1395	Chr02	66500000	66600000	0.7058800	A
1396	Chr02	68550000	68650000	0.5226800	A
1397	Chr02	68750000	68850000	0.7522300	A
1398	Chr02	69700000	69800000	0.8701500	A
1399	Chr02	72850000	72950000	0.5819100	A
1400	Chr02	73900000	74000000	0.6876500	A
1401	Chr02	78950000	79050000	0.8416400	A
1402	Chr02	79250000	79350000	0.6753000	A
1403	Chr02	80950000	81050000	0.7730300	A
1404	Chr02	81450000	81550000	0.6420600	A
1405	Chr02	85500000	85600000	0.8046200	A
1406	Chr02	87750000	87850000	0.8669900	A
1407	Chr02	89650000	89750000	0.7903200	A
1408	Chr02	91750000	91850000	0.6722900	A
1409	Chr02	92650000	92750000	0.7010100	A
1410	Chr02	96950000	97050000	0.7068400	A
1411	Chr02	99350000	99450000	0.5161600	A
1412	Chr02	99800000	99900000	0.7377000	A
1413	Chr02	101150000	101250000	0.7100300	A
1414	Chr02	101950000	102050000	0.6241100	A
1415	Chr02	103100000	103200000	0.5130300	A
1416	Chr02	103600000	103700000	0.5187100	A
1417	Chr02	104550000	104650000	0.3883200	A
1418	Chr02	104900000	105000000	0.4824900	A
1419	Chr02	105450000	105550000	0.5611900	A
1420	Chr02	108600000	108700000	0.6555500	A
1421	Chr02	109350000	109450000	0.5158400	A
1422	Chr02	109750000	109850000	0.5666500	A
1423	Chr02	110800000	110900000	0.4400900	A
1424	Chr02	112550000	112650000	0.7158000	A
1425	Chr02	113600000	113700000	0.3086400	A
1426	Chr02	115050000	115150000	0.2613000	A
1427	Chr02	0	50000	0.1588400	A
1428	Chr02	2900000	3000000	0.2639900	A
1429	Chr02	4350000	4450000	0.4368200	A
1430	Chr02	5900000	6000000	0.5710000	A
1431	Chr02	6950000	7050000	0.5264100	A
1432	Chr02	7500000	7600000	0.4997000	A
1433	Chr02	7750000	7850000	0.4501100	A
1434	Chr02	9050000	9150000	0.6896500	A
1435	Chr02	10250000	10350000	0.6083400	A
1436	Chr02	10900000	11000000	0.6179600	A
1437	Chr02	14550000	14650000	0.6988800	A
1438	Chr02	15600000	15700000	0.8508000	A
1439	Chr02	18750000	18850000	0.7553300	A
1440	Chr02	21000000	21100000	0.7393000	A
1441	Chr02	21500000	21600000	0.6764400	A
1442	Chr02	23600000	23700000	0.7514200	A
1443	Chr02	25300000	25400000	0.6236800	A
1444	Chr02	25700000	25800000	0.6866300	A
1445	Chr02	27550000	27650000	0.7861600	A
1446	Chr02	29500000	29600000	0.6497200	A
1447	Chr02	30300000	30400000	0.6721400	A
1448	Chr02	32250000	32350000	0.8693900	A
1449	Chr02	33050000	33150000	0.7454400	A
1450	Chr02	35800000	35900000	0.7755100	A
1451	Chr02	37750000	37850000	0.6823200	A
1452	Chr02	38800000	38900000	0.6206700	A
1453	Chr02	40400000	40500000	0.7413500	A
1454	Chr02	40900000	41000000	0.7564400	A
1455	Chr02	44200000	44300000	0.7882900	A
1456	Chr02	53350000	53450000	0.8237200	A
1457	Chr02	57950000	58050000	0.7537400	A
1458	Chr02	66200000	66300000	0.6583300	A
1459	Chr02	72250000	72350000	0.8320000	A
1460	Chr02	77100000	77200000	0.7101800	A
1461	Chr02	80350000	80450000	0.8462200	A
1462	Chr02	83650000	83750000	0.9147200	A
1463	Chr02	86250000	86350000	0.7798100	A
1464	Chr02	95700000	95800000	0.7800100	A
1465	Chr02	96500000	96600000	0.7117400	A
1466	Chr02	98850000	98950000	0.7308700	A
1467	Chr02	102250000	102350000	0.7463000	A
1468	Chr02	112200000	112300000	0.3165100	A
1469	Chr02	113000000	113100000	0.3392400	A
1470	Chr03	8300000	8400000	0.5978900	A
1471	Chr03	75450000	75550000	0.7810600	A
1472	Chr03	2000000	2100000	0.3914200	A
1473	Chr03	9350000	9450000	0.7110000	A
1474	Chr03	15650000	15750000	0.6179000	A
1475	Chr03	19850000	19950000	0.6580900	A
1476	Chr03	23050000	23150000	0.5923800	A
1477	Chr03	44000000	44100000	0.8750200	A
1478	Chr03	57600000	57700000	0.7178500	A
1479	Chr03	61800000	61900000	0.7773700	A
1480	Chr03	118450000	118550000	0.6979900	A
1481	Chr03	123650000	123750000	0.7033000	A
1482	Chr03	132050000	132150000	0.3352200	A
1483	Chr03	3600000	3700000	0.2335400	A
1484	Chr03	4050000	4150000	0.3625200	A
1485	Chr03	5350000	5450000	0.2504100	A
1486	Chr03	6900000	7000000	0.3534300	A
1487	Chr03	7700000	7800000	0.4453000	A
1488	Chr03	8650000	8750000	0.5080100	A
1489	Chr03	13050000	13150000	0.5350400	A
1490	Chr03	13700000	13800000	0.6609600	A
1491	Chr03	15000000	15100000	0.3572000	A
1492	Chr03	15300000	15400000	0.5362600	A
1493	Chr03	16200000	16300000	0.5233000	A
1494	Chr03	17900000	18000000	0.6094200	A
1495	Chr03	18400000	18500000	0.6794100	A
1496	Chr03	19350000	19450000	0.6327200	A
1497	Chr03	20650000	20750000	0.4284900	A
1498	Chr03	21850000	21950000	0.6890900	A
1499	Chr03	23300000	23400000	0.7094500	A
1500	Chr03	24700000	24800000	0.6510800	A
1501	Chr03	25900000	26000000	0.7303500	A
1502	Chr03	26800000	26900000	0.6779200	A
1503	Chr03	27600000	27700000	0.6936700	A
1504	Chr03	28100000	28200000	0.6860400	A
1505	Chr03	30000000	30100000	0.6779100	A
1506	Chr03	30750000	30850000	0.6622800	A
1507	Chr03	31250000	31350000	0.6540300	A
1508	Chr03	32100000	32200000	0.5952800	A
1509	Chr03	32750000	32850000	0.6301400	A
1510	Chr03	34450000	34550000	0.7993000	A
1511	Chr03	36300000	36400000	0.7267100	A
1512	Chr03	36900000	37000000	0.5516100	A
1513	Chr03	38400000	38500000	0.4806700	A
1514	Chr03	39000000	39100000	0.6338900	A
1515	Chr03	40150000	40250000	0.6681000	A
1516	Chr03	41800000	41900000	0.5401000	A
1517	Chr03	42450000	42550000	0.6844400	A
1518	Chr03	44350000	44450000	0.6374100	A
1519	Chr03	45550000	45650000	0.5616600	A
1520	Chr03	46600000	46700000	0.6435200	A
1521	Chr03	49600000	49700000	0.6413200	A
1522	Chr03	50650000	50750000	0.6923300	A
1523	Chr03	52800000	52900000	0.8034200	A
1524	Chr03	55150000	55250000	0.8161500	A
1525	Chr03	56200000	56300000	0.7331100	A
1526	Chr03	57100000	57200000	0.8558300	A
1527	Chr03	58300000	58400000	0.6304600	A
1528	Chr03	61450000	61550000	0.7071700	A
1529	Chr03	64350000	64450000	0.5296700	A
1530	Chr03	65250000	65350000	0.6573500	A
1531	Chr03	66400000	66500000	0.7405200	A
1532	Chr03	66800000	66900000	0.7301600	A
1533	Chr03	68000000	68100000	0.4918900	A
1534	Chr03	69050000	69150000	0.7276600	A
1535	Chr03	70050000	70150000	0.7914600	A
1536	Chr03	70550000	70650000	0.6719900	A
1537	Chr03	71550000	71650000	0.6756200	A
1538	Chr03	78950000	79050000	0.6962200	A
1539	Chr03	82000000	82100000	0.6061800	A
1540	Chr03	82650000	82750000	0.6511600	A
1541	Chr03	82950000	83050000	0.5883000	A
1542	Chr03	85400000	85500000	0.7915300	A
1543	Chr03	86550000	86650000	0.7224100	A
1544	Chr03	87350000	87450000	0.7579400	A
1545	Chr03	91350000	91450000	0.7204600	A
1546	Chr03	91700000	91800000	0.6940400	A
1547	Chr03	92500000	92600000	0.7813200	A
1548	Chr03	93500000	93600000	0.6113500	A
1549	Chr03	94200000	94300000	0.7147000	A
1550	Chr03	94750000	94850000	0.5874200	A
1551	Chr03	96300000	96400000	0.7247600	A
1552	Chr03	98950000	99050000	0.6658700	A
1553	Chr03	103000000	103100000	0.7257400	A
1554	Chr03	103350000	103450000	0.6452900	A
1555	Chr03	104400000	104500000	0.7276100	A
1556	Chr03	105350000	105450000	0.6568900	A
1557	Chr03	105700000	105800000	0.7295500	A
1558	Chr03	106250000	106350000	0.6280500	A
1559	Chr03	107000000	107100000	0.6876500	A
1560	Chr03	107450000	107550000	0.7029200	A
1561	Chr03	109100000	109200000	0.6850000	A
1562	Chr03	110600000	110700000	0.6671100	A
1563	Chr03	111600000	111700000	0.8726600	A
1564	Chr03	113850000	113950000	0.6075100	A
1565	Chr03	115950000	116050000	0.6594600	A
1566	Chr03	116600000	116700000	0.6656700	A
1567	Chr03	120800000	120900000	0.7256100	A
1568	Chr03	122150000	122250000	0.5341800	A
1569	Chr03	122550000	122650000	0.6878900	A
1570	Chr03	124300000	124400000	0.6768000	A
1571	Chr03	125350000	125450000	0.5764500	A
1572	Chr03	125950000	126050000	0.4772300	A
1573	Chr03	126350000	126450000	0.6440100	A
1574	Chr03	127050000	127150000	0.4858300	A
1575	Chr03	127700000	127800000	0.3495200	A
1576	Chr03	128700000	128800000	0.4287700	A
1577	Chr03	129050000	129150000	0.5424500	A
1578	Chr03	129450000	129550000	0.5804500	A
1579	Chr03	130200000	130300000	0.5189100	A
1580	Chr03	130750000	130850000	0.4848500	A
1581	Chr03	133750000	133850000	0.3802300	A
1582	Chr03	134250000	134350000	0.4636300	A
1583	Chr03	134650000	134750000	0.3399700	A
1584	Chr03	135300000	135400000	0.2347400	A
1585	Chr03	138500000	138600000	0.3235100	A
1586	Chr03	139100000	139200000	0.2428000	A
1587	Chr03	0	50000	0.3379400	A
1588	Chr03	4350000	4450000	0.2911000	A
1589	Chr03	4850000	4950000	0.5248800	A
1590	Chr03	5900000	6000000	0.3854400	A
1591	Chr03	9850000	9950000	0.7500400	A
1592	Chr03	12200000	12300000	0.4812200	A
1593	Chr03	14700000	14800000	0.3941800	A
1594	Chr03	17050000	17150000	0.7434600	A
1595	Chr03	17450000	17550000	0.5076300	A
1596	Chr03	21250000	21350000	0.6725700	A
1597	Chr03	24250000	24350000	0.7714700	A
1598	Chr03	26500000	26600000	0.8713500	A
1599	Chr03	28600000	28700000	0.5111600	A
1600	Chr03	49950000	50050000	0.6653700	A
1601	Chr03	51000000	51100000	0.8086800	A
1602	Chr03	56650000	56750000	0.6398800	A
1603	Chr03	63600000	63700000	0.7832400	A
1604	Chr03	72750000	72850000	0.7325400	A
1605	Chr03	74200000	74300000	0.6941800	A
1606	Chr03	77100000	77200000	0.6010100	A
1607	Chr03	78000000	78100000	0.6403400	A
1608	Chr03	79450000	79550000	0.7751500	A
1609	Chr03	90050000	90150000	0.8508600	A
1610	Chr03	97650000	97750000	0.8724700	A
1611	Chr03	101200000	101300000	0.8238800	A
1612	Chr03	104750000	104850000	0.5581100	A
1613	Chr03	108150000	108250000	0.6045500	A
1614	Chr03	112200000	112300000	0.6193900	A
1615	Chr03	117200000	117300000	0.7303200	A
1616	Chr03	119300000	119400000	0.7545400	A
1617	Chr03	119800000	119900000	0.4670500	A
1618	Chr03	121400000	121500000	0.5439700	A
1619	Chr03	123100000	123200000	0.6585600	A
1620	Chr03	125700000	125800000	0.4915900	A
1621	Chr03	131100000	131200000	0.4698100	A
1622	Chr03	133200000	133300000	0.3568100	A
1623	Chr04	67100000	67200000	0.6325600	A
1624	Chr04	4100000	4200000	0.3015800	A
1625	Chr04	7250000	7350000	0.3736900	A
1626	Chr04	18850000	18950000	0.7405400	A
1627	Chr04	56550000	56650000	0.7465000	A
1628	Chr04	68100000	68200000	0.7463300	A
1629	Chr04	76500000	76600000	0.5886700	A
1630	Chr04	78600000	78700000	0.5834200	A
1631	Chr04	79650000	79750000	0.6609800	A
1632	Chr04	115250000	115350000	0.3922400	A
1633	Chr04	119500000	119600000	0.3314000	A
1634	Chr04	350000	450000	0.3491300	A
1635	Chr04	850000	950000	0.3639100	A
1636	Chr04	1650000	1750000	0.3680400	A
1637	Chr04	3450000	3550000	0.4339900	A
1638	Chr04	3800000	3900000	0.2971100	A
1639	Chr04	4750000	4850000	0.6474900	A
1640	Chr04	5850000	5950000	0.4726600	A
1641	Chr04	6750000	6850000	0.4921600	A
1642	Chr04	8200000	8300000	0.5310300	A
1643	Chr04	8650000	8750000	0.5364600	A
1644	Chr04	9300000	9400000	0.5002000	A
1645	Chr04	9750000	9850000	0.6302800	A
1646	Chr04	11200000	11300000	0.6968600	A
1647	Chr04	11600000	11700000	0.5491300	A
1648	Chr04	12700000	12800000	0.4201800	A
1649	Chr04	13850000	13950000	0.5434300	A
1650	Chr04	14100000	14200000	0.4737800	A
1651	Chr04	15200000	15300000	0.6012700	A
1652	Chr04	16250000	16350000	0.8217400	A
1653	Chr04	17250000	17350000	0.6524000	A
1654	Chr04	18200000	18300000	0.6542100	A
1655	Chr04	19500000	19600000	0.4718900	A
1656	Chr04	20750000	20850000	0.8242500	A
1657	Chr04	22150000	22250000	0.6278600	A
1658	Chr04	23700000	23800000	0.6906600	A
1659	Chr04	24750000	24850000	0.5265100	A
1660	Chr04	27350000	27450000	0.6795300	A
1661	Chr04	27750000	27850000	0.7010700	A
1662	Chr04	30750000	30850000	0.8286100	A
1663	Chr04	33400000	33500000	0.8018300	A
1664	Chr04	34450000	34550000	0.7791200	A
1665	Chr04	34800000	34900000	0.7529800	A
1666	Chr04	35750000	35850000	0.7364100	A
1667	Chr04	36800000	36900000	0.6176800	A
1668	Chr04	38450000	38550000	0.6651200	A
1669	Chr04	41250000	41350000	0.7337500	A
1670	Chr04	43350000	43450000	0.7370900	A
1671	Chr04	43900000	44000000	0.7797200	A
1672	Chr04	44500000	44600000	0.8662900	A
1673	Chr04	45450000	45550000	0.8066100	A
1674	Chr04	46300000	46400000	0.7131700	A
1675	Chr04	47550000	47650000	0.8192100	A
1676	Chr04	48600000	48700000	0.6631100	A
1677	Chr04	50550000	50650000	0.5700000	A
1678	Chr04	52900000	53000000	0.7807300	A
1679	Chr04	53800000	53900000	0.8571600	A
1680	Chr04	55350000	55450000	0.7328700	A
1681	Chr04	56050000	56150000	0.6286700	A
1682	Chr04	57350000	57450000	0.6868700	A
1683	Chr04	61000000	61100000	0.7761000	A
1684	Chr04	61650000	61750000	0.7976700	A
1685	Chr04	62350000	62450000	0.8981300	A
1686	Chr04	64400000	64500000	0.7702700	A
1687	Chr04	65400000	65500000	0.7055100	A
1688	Chr04	66300000	66400000	0.6685800	A
1689	Chr04	70300000	70400000	0.8410500	A
1690	Chr04	72800000	72900000	0.7325600	A
1691	Chr04	73050000	73150000	0.6910700	A
1692	Chr04	76000000	76100000	0.7480300	A
1693	Chr04	79250000	79350000	0.7417000	A
1694	Chr04	80300000	80400000	0.6712700	A
1695	Chr04	81500000	81600000	0.7950400	A
1696	Chr04	82900000	83000000	0.6241400	A
1697	Chr04	87550000	87650000	0.6683700	A
1698	Chr04	90650000	90750000	0.6881800	A
1699	Chr04	91050000	91150000	0.5140600	A
1700	Chr04	91950000	92050000	0.8236300	A
1701	Chr04	92450000	92550000	0.5172200	A
1702	Chr04	93450000	93550000	0.7569800	A
1703	Chr04	94100000	94200000	0.7669500	A
1704	Chr04	95800000	95900000	0.7752000	A
1705	Chr04	96200000	96300000	0.6211300	A
1706	Chr04	97050000	97150000	0.6309300	A
1707	Chr04	97850000	97950000	0.5691200	A
1708	Chr04	98600000	98700000	0.6923300	A
1709	Chr04	99650000	99750000	0.6471100	A
1710	Chr04	100700000	100800000	0.5847700	A
1711	Chr04	101950000	102050000	0.6452500	A
1712	Chr04	104950000	105050000	0.6905900	A
1713	Chr04	105700000	105800000	0.6079100	A
1714	Chr04	106000000	106100000	0.6682400	A
1715	Chr04	106750000	106850000	0.5766900	A
1716	Chr04	109150000	109250000	0.7274300	A
1717	Chr04	109400000	109500000	0.5858700	A
1718	Chr04	109750000	109850000	0.6908200	A
1719	Chr04	110150000	110250000	0.6681200	A
1720	Chr04	110700000	110800000	0.6038100	A
1721	Chr04	111650000	111750000	0.4297800	A
1722	Chr04	112900000	113000000	0.5577000	A
1723	Chr04	113350000	113450000	0.5214900	A
1724	Chr04	113900000	114000000	0.5723400	A
1725	Chr04	114550000	114650000	0.6949100	A
1726	Chr04	114900000	115000000	0.4095600	A
1727	Chr04	116500000	116600000	0.5133900	A
1728	Chr04	117300000	117400000	0.4551000	A
1729	Chr04	118150000	118250000	0.1959500	A
1730	Chr04	120750000	120850000	0.4211500	A
1731	Chr04	121350000	121450000	0.4337500	A
1732	Chr04	122400000	122500000	0.5804400	A
1733	Chr04	0	50000	0.6974000	A
1734	Chr04	2100000	2200000	0.3015500	A
1735	Chr04	2500000	2600000	0.3355700	A
1736	Chr04	5250000	5350000	0.6393000	A
1737	Chr04	7750000	7850000	0.4035700	A
1738	Chr04	10100000	10200000	0.5641000	A
1739	Chr04	10900000	11000000	0.4906800	A
1740	Chr04	12200000	12300000	0.5629100	A
1741	Chr04	13250000	13350000	0.6658200	A
1742	Chr04	16800000	16900000	0.4818700	A
1743	Chr04	21000000	21100000	0.6371400	A
1744	Chr04	24400000	24500000	0.6339300	A
1745	Chr04	25300000	25400000	0.7331500	A
1746	Chr04	26500000	26600000	0.8206700	A
1747	Chr04	32400000	32500000	0.7958100	A
1748	Chr04	40250000	40350000	0.6374000	A
1749	Chr04	52300000	52400000	0.5822200	A
1750	Chr04	60450000	60550000	0.6643200	A
1751	Chr04	71700000	71800000	0.6302800	A
1752	Chr04	73800000	73900000	0.7351100	A
1753	Chr04	81150000	81250000	0.6546200	A
1754	Chr04	83650000	83750000	0.7956400	A
1755	Chr04	85750000	85850000	0.6341800	A
1756	Chr04	90200000	90300000	0.6775700	A
1757	Chr04	97400000	97500000	0.5819100	A
1758	Chr04	99100000	99200000	0.7392800	A
1759	Chr04	103050000	103150000	0.7450100	A
1760	Chr04	107100000	107200000	0.5393800	A
1761	Chr04	107750000	107850000	0.4710000	A
1762	Chr04	111150000	111250000	0.5421400	A
1763	Chr04	116150000	116250000	0.4697500	A
1764	Chr04	118500000	118600000	0.3055100	A
1765	Chr04	119150000	119250000	0.2853700	A
1766	Chr04	121900000	122000000	0.2888700	A
1767	Chr05	50300000	50400000	0.7483600	A
1768	Chr05	2000000	2100000	0.1191600	A
1769	Chr05	5200000	5300000	0.0743900	A
1770	Chr05	6250000	6350000	0.1847400	A
1771	Chr05	23050000	23150000	0.7406400	A
1772	Chr05	30400000	30500000	0.3706400	A
1773	Chr05	34600000	34700000	0.4540300	A
1774	Chr05	48150000	48250000	0.8241800	A
1775	Chr05	53400000	53500000	0.8731000	A
1776	Chr05	55500000	55600000	0.7257600	A
1777	Chr05	57600000	57700000	0.8136600	A
1778	Chr05	60800000	60900000	0.6539400	A
1779	Chr05	89100000	89200000	0.6648100	A
1780	Chr05	3350000	3450000	0.3346300	A
1781	Chr05	5600000	5700000	0.1019700	A
1782	Chr05	6000000	6100000	0.2739200	A
1783	Chr05	7050000	7150000	0.1271900	A
1784	Chr05	10350000	10450000	0.2566900	A
1785	Chr05	10850000	10950000	0.1558300	A
1786	Chr05	14800000	14900000	0.1666400	A
1787	Chr05	15450000	15550000	0.2832100	A
1788	Chr05	16050000	16150000	0.3110300	A
1789	Chr05	16450000	16550000	0.1909400	A
1790	Chr05	19000000	19100000	0.1467600	A
1791	Chr05	20300000	20400000	0.2155600	A
1792	Chr05	21850000	21950000	0.4669500	A
1793	Chr05	24350000	24450000	0.3829500	A
1794	Chr05	26650000	26750000	0.4033000	A
1795	Chr05	27300000	27400000	0.4463100	A
1796	Chr05	28350000	28450000	0.5269000	A
1797	Chr05	29000000	29100000	0.4548500	A
1798	Chr05	29550000	29650000	0.5221300	A
1799	Chr05	29800000	29900000	0.3689600	A
1800	Chr05	32600000	32700000	0.3583900	A
1801	Chr05	33350000	33450000	0.3684600	A
1802	Chr05	35250000	35350000	0.5307500	A
1803	Chr05	35750000	35850000	0.5656900	A
1804	Chr05	36900000	37000000	0.4095400	A
1805	Chr05	37400000	37500000	0.5323500	A
1806	Chr05	38050000	38150000	0.7150000	A
1807	Chr05	41350000	41450000	0.5925400	A
1808	Chr05	41750000	41850000	0.6427800	A
1809	Chr05	42250000	42350000	0.6627200	A
1810	Chr05	42650000	42750000	0.5748200	A
1811	Chr05	42850000	42950000	0.5201400	A
1812	Chr05	43300000	43400000	0.6223700	A
1813	Chr05	45700000	45800000	0.5633000	A
1814	Chr05	49750000	49850000	0.5927000	A
1815	Chr05	51050000	51150000	0.6318000	A
1816	Chr05	53050000	53150000	0.6099200	A
1817	Chr05	54600000	54700000	0.7677000	A
1818	Chr05	56150000	56250000	0.7532300	A
1819	Chr05	58050000	58150000	0.5884900	A
1820	Chr05	59950000	60050000	0.8383900	A
1821	Chr05	62450000	62550000	0.5042600	A
1822	Chr05	63250000	63350000	0.5847700	A
1823	Chr05	63750000	63850000	0.8205200	A
1824	Chr05	65250000	65350000	0.5229800	A
1825	Chr05	67800000	67900000	0.6724000	A
1826	Chr05	69700000	69800000	0.7435600	A
1827	Chr05	71500000	71600000	0.6791800	A
1828	Chr05	72450000	72550000	0.7676300	A
1829	Chr05	74050000	74150000	0.7085800	A
1830	Chr05	76200000	76300000	0.6948300	A
1831	Chr05	77400000	77500000	0.5727200	A
1832	Chr05	78350000	78450000	0.7053100	A
1833	Chr05	79000000	79100000	0.4799900	A
1834	Chr05	79400000	79500000	0.6602300	A
1835	Chr05	80050000	80150000	0.6084300	A
1836	Chr05	80950000	81050000	0.5820700	A
1837	Chr05	81450000	81550000	0.6345700	A
1838	Chr05	82050000	82150000	0.6110000	A
1839	Chr05	84000000	84100000	0.5180300	A
1840	Chr05	85400000	85500000	0.7210800	A
1841	Chr05	86050000	86150000	0.6793400	A
1842	Chr05	86450000	86550000	0.7762000	A
1843	Chr05	87850000	87950000	0.2764200	A
1844	Chr05	89300000	89400000	0.4958700	A
1845	Chr05	90000000	90100000	0.6935200	A
1846	Chr05	90750000	90850000	0.6803500	A
1847	Chr05	91000000	91100000	0.6385300	A
1848	Chr05	91350000	91450000	0.6690100	A
1849	Chr05	92000000	92100000	0.4051900	A
1850	Chr05	92450000	92550000	0.6039500	A
1851	Chr05	93050000	93150000	0.3277800	A
1852	Chr05	0	50000	0.6909200	A
1853	Chr05	400000	500000	0.3607900	A
1854	Chr05	2900000	3000000	0.3103300	A
1855	Chr05	3950000	4050000	0.0919800	A
1856	Chr05	11300000	11400000	0.1020300	A
1857	Chr05	18250000	18350000	0.3981600	A
1858	Chr05	25050000	25150000	0.3869600	A
1859	Chr05	25850000	25950000	0.4090900	A
1860	Chr05	39200000	39300000	0.6343900	A
1861	Chr05	40400000	40500000	0.5129300	A
1862	Chr05	43650000	43750000	0.5473800	A
1863	Chr05	45250000	45350000	0.6008700	A
1864	Chr05	47200000	47300000	0.6774700	A
1865	Chr05	52300000	52400000	0.6104900	A
1866	Chr05	68700000	68800000	0.5130500	A
1867	Chr05	73300000	73400000	0.6852400	A
1868	Chr05	74850000	74950000	0.6184100	A
1869	Chr05	82850000	82950000	0.6010900	A
1870	Chr05	88100000	88200000	0.5175000	A
1871	Chr06	109000000	109100000	0.6656400	A
1872	Chr06	12500000	12600000	0.4716600	A
1873	Chr06	13600000	13700000	0.5013500	A
1874	Chr06	18850000	18950000	0.7057600	A
1875	Chr06	22000000	22100000	0.6496000	A
