line	name	dist	year	genome	type
8765	LTR-TE1038	7.55	5.39286	A	Gypsy
8766	LTR-TE1040	3.22	2.3	A	Gypsy
8767	LTR-TE1041	1.27	0.907143	A	Gypsy
8768	LTR-TE1042	1.90	1.35714	A	Gypsy
8769	LTR-TE1043	2.00	1.42857	A	Gypsy
8770	LTR-TE1044	0.35	0.25	A	Gypsy
8771	LTR-TE1045	1.63	1.16429	A	Gypsy
8772	LTR-TE1047	0.79	0.564286	A	Gypsy
8773	LTR-TE1049	2.30	1.64286	A	Gypsy
8774	LTR-TE1050	2.12	1.51429	A	Gypsy
8775	LTR-TE1051	1.10	0.785714	A	Gypsy
8776	LTR-TE1052	1.86	1.32857	A	Gypsy
8777	LTR-TE1053	2.89	2.06429	A	Gypsy
8778	LTR-TE1054	0.07	0.05	A	Gypsy
8779	LTR-TE1055	1.85	1.32143	A	Gypsy
8780	LTR-TE1056	0.40	0.285714	A	Gypsy
8781	LTR-TE1057	1.18	0.842857	A	Gypsy
8782	LTR-TE1058	0.91	0.65	A	Gypsy
8783	LTR-TE1059	1.70	1.21429	A	Gypsy
8784	LTR-TE1060	6.89	4.92143	A	Gypsy
8785	LTR-TE1061	5.41	3.86429	A	Gypsy
8786	LTR-TE1062	1.79	1.27857	A	Gypsy
8787	LTR-TE1063	0.31	0.221429	A	Gypsy
8788	LTR-TE1064	0.29	0.207143	A	Gypsy
8789	LTR-TE1065	0.25	0.178571	A	Gypsy
8790	LTR-TE1066	1.14	0.814286	A	Gypsy
8791	LTR-TE1067	0.46	0.328571	A	Gypsy
8792	LTR-TE1068	0.92	0.657143	A	Gypsy
8793	LTR-TE1069	0.37	0.264286	A	Gypsy
8794	LTR-TE1071	0.12	0.0857143	A	Gypsy
8795	LTR-TE1073	2.51	1.79286	A	Gypsy
8796	LTR-TE1074	1.15	0.821429	A	Gypsy
8797	LTR-TE1075	1.52	1.08571	A	Gypsy
8798	LTR-TE1076	1.22	0.871429	A	Gypsy
8799	LTR-TE1077	2.45	1.75	A	Gypsy
8800	LTR-TE1078	1.40	1	A	Gypsy
8801	LTR-TE1079	0.85	0.607143	A	Gypsy
8802	LTR-TE1080	0.13	0.0928571	A	Gypsy
8803	LTR-TE1081	6.72	4.8	A	Gypsy
8804	LTR-TE1082	0.81	0.578571	A	Gypsy
8805	LTR-TE1083	0.58	0.414286	A	Gypsy
8806	LTR-TE1084	3.68	2.62857	A	Gypsy
8807	LTR-TE1085	2.07	1.47857	A	Gypsy
8808	LTR-TE1087	6.45	4.60714	A	Gypsy
8809	LTR-TE1089	3.38	2.41429	A	Gypsy
8810	LTR-TE1090	1.86	1.32857	A	Gypsy
8811	LTR-TE1092	1.11	0.792857	A	Gypsy
8812	LTR-TE1093	0.69	0.492857	A	Gypsy
8813	LTR-TE1094	0.49	0.35	A	Gypsy
8814	LTR-TE1095	1.38	0.985714	A	Gypsy
8815	LTR-TE1096	1.34	0.957143	A	Gypsy
8816	LTR-TE1097	1.94	1.38571	A	Gypsy
8817	LTR-TE1098	0.62	0.442857	A	Gypsy
8818	LTR-TE1100	2.72	1.94286	A	Gypsy
8819	LTR-TE1101	3.90	2.78571	A	Gypsy
8820	LTR-TE1102	0.40	0.285714	A	Gypsy
8821	LTR-TE1103	2.55	1.82143	A	Gypsy
8822	LTR-TE1105	0.37	0.264286	A	Gypsy
8823	LTR-TE1106	0.25	0.178571	A	Gypsy
8824	LTR-TE1108	0.87	0.621429	A	Gypsy
8825	LTR-TE1109	0.16	0.114286	A	Gypsy
8826	LTR-TE1110	1.58	1.12857	A	Gypsy
8827	LTR-TE1111	0.41	0.292857	A	Gypsy
8828	LTR-TE1112	1.46	1.04286	A	Gypsy
8829	LTR-TE1114	1.16	0.828571	A	Gypsy
8830	LTR-TE1115	0.57	0.407143	A	Gypsy
8831	LTR-TE1116	9.29	6.63571	A	Gypsy
8832	LTR-TE1117	1.14	0.814286	A	Gypsy
8833	LTR-TE1118	1.37	0.978571	A	Gypsy
8834	LTR-TE1119	0.16	0.114286	A	Gypsy
8835	LTR-TE1120	0.73	0.521429	A	Gypsy
8836	LTR-TE1121	1.17	0.835714	A	Gypsy
8837	LTR-TE1122	1.45	1.03571	A	Gypsy
8838	LTR-TE1123	7.09	5.06429	A	Gypsy
8839	LTR-TE1125	4.91	3.50714	A	Gypsy
8840	LTR-TE1127	2.43	1.73571	A	Gypsy
8841	LTR-TE1128	1.15	0.821429	A	Gypsy
8842	LTR-TE1129	0.46	0.328571	A	Gypsy
8843	LTR-TE1130	0.54	0.385714	A	Gypsy
8844	LTR-TE1131	0.16	0.114286	A	Gypsy
8845	LTR-TE1132	6.32	4.51429	A	Gypsy
8846	LTR-TE1135	0.54	0.385714	A	Gypsy
8847	LTR-TE1136	0.22	0.157143	A	Gypsy
8848	LTR-TE1137	1.59	1.13571	A	Gypsy
8849	LTR-TE1138	2.90	2.07143	A	Gypsy
8850	LTR-TE1139	0.46	0.328571	A	Gypsy
8851	LTR-TE1140	0.53	0.378571	A	Gypsy
8852	LTR-TE1141	2.23	1.59286	A	Gypsy
8853	LTR-TE1142	1.33	0.95	A	Gypsy
8854	LTR-TE1143	2.31	1.65	A	Gypsy
8855	LTR-TE1144	0.84	0.6	A	Gypsy
8856	LTR-TE1145	1.14	0.814286	A	Gypsy
8857	LTR-TE1146	1.93	1.37857	A	Gypsy
8858	LTR-TE1147	3.26	2.32857	A	Gypsy
8859	LTR-TE1148	5.03	3.59286	A	Gypsy
8860	LTR-TE1149	4.82	3.44286	A	Gypsy
8861	LTR-TE1150	0.43	0.307143	A	Gypsy
8862	LTR-TE1151	2.44	1.74286	A	Gypsy
8863	LTR-TE1152	0.49	0.35	A	Gypsy
8864	LTR-TE1153	1.20	0.857143	A	Gypsy
8865	LTR-TE1154	1.59	1.13571	A	Gypsy
8866	LTR-TE1155	0.85	0.607143	A	Gypsy
8867	LTR-TE1156	1.26	0.9	A	Gypsy
8868	LTR-TE1157	4.07	2.90714	A	Gypsy
8869	LTR-TE1158	6.97	4.97857	A	Gypsy
8870	LTR-TE1159	2.09	1.49286	A	Gypsy
8871	LTR-TE1160	1.78	1.27143	A	Gypsy
8872	LTR-TE1161	2.74	1.95714	A	Gypsy
8873	LTR-TE1163	6.75	4.82143	A	Gypsy
8874	LTR-TE1164	0.96	0.685714	A	Gypsy
8875	LTR-TE1165	1.71	1.22143	A	Gypsy
8876	LTR-TE1166	0.81	0.578571	A	Gypsy
8877	LTR-TE1167	1.67	1.19286	A	Gypsy
8878	LTR-TE1168	0.16	0.114286	A	Gypsy
8879	LTR-TE1169	0.63	0.45	A	Gypsy
8880	LTR-TE1170	6.91	4.93571	A	Gypsy
8881	LTR-TE1171	6.39	4.56429	A	Gypsy
8882	LTR-TE1172	1.71	1.22143	A	Gypsy
8883	LTR-TE1173	0.92	0.657143	A	Gypsy
8884	LTR-TE1174	2.31	1.65	A	Gypsy
8885	LTR-TE1175	0.25	0.178571	A	Gypsy
8886	LTR-TE1176	1.83	1.30714	A	Gypsy
8887	LTR-TE1177	1.32	0.942857	A	Gypsy
8888	LTR-TE1178	4.11	2.93571	A	Gypsy
8889	LTR-TE1179	1.17	0.835714	A	Gypsy
8890	LTR-TE1180	4.57	3.26429	A	Gypsy
8891	LTR-TE1182	0.66	0.471429	A	Gypsy
8892	LTR-TE1184	1.20	0.857143	A	Gypsy
8893	LTR-TE1185	0.37	0.264286	A	Gypsy
8894	LTR-TE1186	4.97	3.55	A	Gypsy
8895	LTR-TE1187	1.76	1.25714	A	Gypsy
8896	LTR-TE1188	0.48	0.342857	A	Gypsy
8897	LTR-TE1190	5.85	4.17857	A	Gypsy
8898	LTR-TE1191	0.37	0.264286	A	Gypsy
8899	LTR-TE1192	0.62	0.442857	A	Gypsy
8900	LTR-TE1193	1.85	1.32143	A	Gypsy
8901	LTR-TE1194	0.22	0.157143	A	Gypsy
8902	LTR-TE1195	2.66	1.9	A	Gypsy
8903	LTR-TE1196	0.74	0.528571	A	Gypsy
8904	LTR-TE1197	1.34	0.957143	A	Gypsy
8905	LTR-TE1198	1.37	0.978571	A	Gypsy
8906	LTR-TE1200	1.28	0.914286	A	Gypsy
8907	LTR-TE1202	0.90	0.642857	A	Gypsy
8908	LTR-TE1203	0.22	0.157143	A	Gypsy
8909	LTR-TE1204	2.56	1.82857	A	Gypsy
8910	LTR-TE1205	0.57	0.407143	A	Gypsy
8911	LTR-TE1206	2.03	1.45	A	Gypsy
8912	LTR-TE1207	2.75	1.96429	A	Gypsy
8913	LTR-TE1208	4.79	3.42143	A	Gypsy
8914	LTR-TE1210	10.36	7.4	A	Gypsy
8915	LTR-TE1211	1.62	1.15714	A	Gypsy
8916	LTR-TE1212	0.60	0.428571	A	Gypsy
8917	LTR-TE1213	0.44	0.314286	A	Gypsy
8918	LTR-TE1214	0.59	0.421429	A	Gypsy
8919	LTR-TE1215	2.90	2.07143	A	Gypsy
8920	LTR-TE1217	0.94	0.671429	A	Gypsy
8921	LTR-TE1218	0.25	0.178571	A	Gypsy
8922	LTR-TE1219	0.06	0.0428571	A	Gypsy
8923	LTR-TE1220	7.29	5.20714	A	Gypsy
8924	LTR-TE1221	6.89	4.92143	A	Gypsy
8925	LTR-TE1222	2.31	1.65	A	Gypsy
8926	LTR-TE1223	0.48	0.342857	A	Gypsy
8927	LTR-TE1224	-0.00	0	A	Gypsy
8928	LTR-TE1225	-0.00	0	A	Gypsy
8929	LTR-TE1226	0.76	0.542857	A	Gypsy
8930	LTR-TE1227	2.39	1.70714	A	Gypsy
8931	LTR-TE1228	0.18	0.128571	A	Gypsy
8932	LTR-TE1230	0.91	0.65	A	Gypsy
8933	LTR-TE1231	5.06	3.61429	A	Gypsy
8934	LTR-TE1232	1.10	0.785714	A	Gypsy
8935	LTR-TE1233	0.73	0.521429	A	Gypsy
8936	LTR-TE1235	0.70	0.5	A	Gypsy
8937	LTR-TE1238	1.70	1.21429	A	Gypsy
8938	LTR-TE1239	0.39	0.278571	A	Gypsy
8939	LTR-TE1241	1.25	0.892857	A	Gypsy
8940	LTR-TE1242	0.15	0.107143	A	Gypsy
8941	LTR-TE1243	2.17	1.55	A	Gypsy
8942	LTR-TE1244	2.06	1.47143	A	Gypsy
8943	LTR-TE1245	1.88	1.34286	A	Gypsy
8944	LTR-TE1246	0.28	0.2	A	Gypsy
8945	LTR-TE1247	1.87	1.33571	A	Gypsy
8946	LTR-TE1248	2.98	2.12857	A	Gypsy
8947	LTR-TE1249	2.37	1.69286	A	Gypsy
8948	LTR-TE1250	0.77	0.55	A	Gypsy
8949	LTR-TE1251	6.01	4.29286	A	Gypsy
8950	LTR-TE1252	0.52	0.371429	A	Gypsy
8951	LTR-TE1253	1.14	0.814286	A	Gypsy
8952	LTR-TE1254	1.63	1.16429	A	Gypsy
8953	LTR-TE1255	0.74	0.528571	A	Gypsy
8954	LTR-TE1256	0.95	0.678571	A	Gypsy
8955	LTR-TE1257	5.23	3.73571	A	Gypsy
8956	LTR-TE1258	0.62	0.442857	A	Gypsy
8957	LTR-TE1259	0.24	0.171429	A	Gypsy
8958	LTR-TE1261	0.25	0.178571	A	Gypsy
8959	LTR-TE1262	1.21	0.864286	A	Gypsy
8960	LTR-TE1263	5.00	3.57143	A	Gypsy
8961	LTR-TE1264	10.75	7.67857	A	Gypsy
8962	LTR-TE1265	0.49	0.35	A	Gypsy
8963	LTR-TE1266	2.59	1.85	A	Gypsy
8964	LTR-TE1268	0.86	0.614286	A	Gypsy
8965	LTR-TE1269	0.30	0.214286	A	Gypsy
8966	LTR-TE1270	3.51	2.50714	A	Gypsy
8967	LTR-TE1271	2.25	1.60714	A	Gypsy
8968	LTR-TE1273	0.23	0.164286	A	Gypsy
8969	LTR-TE1274	0.70	0.5	A	Gypsy
8970	LTR-TE1275	1.06	0.757143	A	Gypsy
8971	LTR-TE1276	8.82	6.3	A	Gypsy
8972	LTR-TE1277	4.43	3.16429	A	Gypsy
8973	LTR-TE1278	3.15	2.25	A	Gypsy
8974	LTR-TE1280	0.19	0.135714	A	Gypsy
8975	LTR-TE1281	0.90	0.642857	A	Gypsy
8976	LTR-TE1282	0.43	0.307143	A	Gypsy
8977	LTR-TE1284	1.16	0.828571	A	Gypsy
8978	LTR-TE1285	0.70	0.5	A	Gypsy
8979	LTR-TE1286	3.31	2.36429	A	Gypsy
8980	LTR-TE1287	3.87	2.76429	A	Gypsy
8981	LTR-TE1288	7.37	5.26429	A	Gypsy
8982	LTR-TE1289	2.05	1.46429	A	Gypsy
8983	LTR-TE1290	7.08	5.05714	A	Gypsy
8984	LTR-TE1291	1.16	0.828571	A	Gypsy
8985	LTR-TE1293	9.64	6.88571	A	Gypsy
8986	LTR-TE1294	1.74	1.24286	A	Gypsy
8987	LTR-TE1295	10.73	7.66429	A	Gypsy
8988	LTR-TE1296	0.22	0.157143	A	Gypsy
8989	LTR-TE1297	1.15	0.821429	A	Gypsy
8990	LTR-TE1298	3.28	2.34286	A	Gypsy
8991	LTR-TE1299	1.36	0.971429	A	Gypsy
8992	LTR-TE1300	1.26	0.9	A	Gypsy
8993	LTR-TE1301	7.46	5.32857	A	Gypsy
8994	LTR-TE1302	1.71	1.22143	A	Gypsy
8995	LTR-TE1303	4.60	3.28571	A	Gypsy
8996	LTR-TE1304	7.22	5.15714	A	Gypsy
8997	LTR-TE1305	0.29	0.207143	A	Gypsy
8998	LTR-TE1306	0.95	0.678571	A	Gypsy
8999	LTR-TE1307	1.11	0.792857	A	Gypsy
9000	LTR-TE1308	4.85	3.46429	A	Gypsy
9001	LTR-TE1310	6.13	4.37857	A	Gypsy
9002	LTR-TE1311	0.78	0.557143	A	Gypsy
9003	LTR-TE1312	1.18	0.842857	A	Gypsy
9004	LTR-TE1313	8.32	5.94286	A	Gypsy
9005	LTR-TE1314	2.05	1.46429	A	Gypsy
9006	LTR-TE1317	7.24	5.17143	A	Gypsy
9007	LTR-TE1318	2.38	1.7	A	Gypsy
9008	LTR-TE1320	2.13	1.52143	A	Gypsy
9009	LTR-TE1321	2.33	1.66429	A	Gypsy
9010	LTR-TE1322	1.27	0.907143	A	Gypsy
9011	LTR-TE1324	3.88	2.77143	A	Gypsy
9012	LTR-TE1325	0.72	0.514286	A	Gypsy
9013	LTR-TE1326	2.81	2.00714	A	Gypsy
9014	LTR-TE1329	2.12	1.51429	A	Gypsy
9015	LTR-TE1330	4.13	2.95	A	Gypsy
9016	LTR-TE1331	2.60	1.85714	A	Gypsy
9017	LTR-TE1332	2.13	1.52143	A	Gypsy
9018	LTR-TE1333	3.94	2.81429	A	Gypsy
9019	LTR-TE1334	1.66	1.18571	A	Gypsy
9020	LTR-TE1335	1.29	0.921429	A	Gypsy
9021	LTR-TE1336	1.01	0.721429	A	Gypsy
9022	LTR-TE1337	-0.00	0	A	Gypsy
9023	LTR-TE1338	-0.00	0	A	Gypsy
9024	LTR-TE1339	4.21	3.00714	A	Gypsy
9025	LTR-TE1342	3.80	2.71429	A	Gypsy
9026	LTR-TE1343	10.18	7.27143	A	Gypsy
9027	LTR-TE1345	1.74	1.24286	A	Gypsy
9028	LTR-TE1346	3.46	2.47143	A	Gypsy
9029	LTR-TE1347	2.76	1.97143	A	Gypsy
9030	LTR-TE1350	2.19	1.56429	A	Gypsy
9031	LTR-TE1351	0.72	0.514286	A	Gypsy
9032	LTR-TE1352	1.00	0.714286	A	Gypsy
9033	LTR-TE1354	2.65	1.89286	A	Gypsy
9034	LTR-TE1355	6.28	4.48571	A	Gypsy
9035	LTR-TE1356	1.91	1.36429	A	Gypsy
9036	LTR-TE1359	4.55	3.25	A	Gypsy
9037	LTR-TE1361	2.90	2.07143	A	Gypsy
9038	LTR-TE1362	6.73	4.80714	A	Gypsy
9039	LTR-TE1363	0.28	0.2	A	Gypsy
9040	LTR-TE1364	6.51	4.65	A	Gypsy
9041	LTR-TE1365	1.08	0.771429	A	Gypsy
9042	LTR-TE1366	6.89	4.92143	A	Gypsy
9043	LTR-TE1367	0.83	0.592857	A	Gypsy
9044	LTR-TE1369	0.47	0.335714	A	Gypsy
9045	LTR-TE1371	3.94	2.81429	A	Gypsy
9046	LTR-TE1372	6.26	4.47143	A	Gypsy
9047	LTR-TE1373	7.19	5.13571	A	Gypsy
9048	LTR-TE1374	6.29	4.49286	A	Gypsy
9049	LTR-TE1375	6.66	4.75714	A	Gypsy
9050	LTR-TE1376	0.76	0.542857	A	Gypsy
9051	LTR-TE1377	0.54	0.385714	A	Gypsy
9052	LTR-TE1378	2.68	1.91429	A	Gypsy
9053	LTR-TE1380	4.46	3.18571	A	Gypsy
9054	LTR-TE1383	7.90	5.64286	A	Gypsy
9055	LTR-TE1384	7.54	5.38571	A	Gypsy
9056	LTR-TE1385	2.88	2.05714	A	Gypsy
9057	LTR-TE1386	7.07	5.05	A	Gypsy
9058	LTR-TE1387	3.05	2.17857	A	Gypsy
9059	LTR-TE1388	6.53	4.66429	A	Gypsy
9060	LTR-TE1390	6.26	4.47143	A	Gypsy
9061	LTR-TE1391	1.06	0.757143	A	Gypsy
9062	LTR-TE1392	4.13	2.95	A	Gypsy
9063	LTR-TE1393	0.92	0.657143	A	Gypsy
9064	LTR-TE1394	4.29	3.06429	A	Gypsy
9065	LTR-TE1395	0.73	0.521429	A	Gypsy
9066	LTR-TE1396	0.44	0.314286	A	Gypsy
9067	LTR-TE1397	0.55	0.392857	A	Gypsy
9068	LTR-TE1398	6.72	4.8	A	Gypsy
9069	LTR-TE1399	3.78	2.7	A	Gypsy
9070	LTR-TE1400	3.57	2.55	A	Gypsy
9071	LTR-TE1401	4.54	3.24286	A	Gypsy
9072	LTR-TE1402	6.72	4.8	A	Gypsy
9073	LTR-TE1405	5.75	4.10714	A	Gypsy
9074	LTR-TE1406	3.07	2.19286	A	Gypsy
9075	LTR-TE1407	8.25	5.89286	A	Gypsy
9076	LTR-TE1408	3.08	2.2	A	Gypsy
9077	LTR-TE1409	2.30	1.64286	A	Gypsy
9078	LTR-TE1410	6.33	4.52143	A	Gypsy
9079	LTR-TE1412	3.50	2.5	A	Gypsy
9080	LTR-TE1416	3.81	2.72143	A	Gypsy
9081	LTR-TE1417	1.91	1.36429	A	Gypsy
9082	LTR-TE1419	2.53	1.80714	A	Gypsy
9083	LTR-TE1420	3.87	2.76429	A	Gypsy
9084	LTR-TE1422	2.73	1.95	A	Gypsy
9085	LTR-TE1423	0.58	0.414286	A	Gypsy
9086	LTR-TE1424	3.54	2.52857	A	Gypsy
9087	LTR-TE1425	0.80	0.571429	A	Gypsy
9088	LTR-TE1426	3.22	2.3	A	Gypsy
9089	LTR-TE1428	8.19	5.85	A	Gypsy
9090	LTR-TE1429	3.12	2.22857	A	Gypsy
9091	LTR-TE1430	6.15	4.39286	A	Gypsy
9092	LTR-TE1431	0.62	0.442857	A	Gypsy
9093	LTR-TE1432	1.15	0.821429	A	Gypsy
9094	LTR-TE1434	1.96	1.4	A	Gypsy
9095	LTR-TE1437	6.95	4.96429	A	Gypsy
9096	LTR-TE1438	1.66	1.18571	A	Gypsy
9097	LTR-TE1440	5.73	4.09286	A	Gypsy
9098	LTR-TE1441	1.68	1.2	A	Gypsy
9099	LTR-TE1442	3.28	2.34286	A	Gypsy
9100	LTR-TE1443	6.40	4.57143	A	Gypsy
9101	LTR-TE1445	3.38	2.41429	A	Gypsy
9102	LTR-TE1446	6.02	4.3	A	Gypsy
9103	LTR-TE1447	8.25	5.89286	A	Gypsy
9104	LTR-TE1448	2.92	2.08571	A	Gypsy
9105	LTR-TE1450	5.23	3.73571	A	Gypsy
9106	LTR-TE1452	0.57	0.407143	A	Gypsy
9107	LTR-TE1455	1.80	1.28571	A	Gypsy
9108	LTR-TE1457	2.88	2.05714	A	Gypsy
9109	LTR-TE1458	3.44	2.45714	A	Gypsy
9110	LTR-TE1460	1.60	1.14286	A	Gypsy
9111	LTR-TE1461	1.73	1.23571	A	Gypsy
9112	LTR-TE1462	2.26	1.61429	A	Gypsy
9113	LTR-TE1463	3.49	2.49286	A	Gypsy
9114	LTR-TE1464	6.73	4.80714	A	Gypsy
9115	LTR-TE1465	0.53	0.378571	A	Gypsy
9116	LTR-TE1466	0.95	0.678571	A	Gypsy
9117	LTR-TE1473	2.76	1.97143	A	Gypsy
9118	LTR-TE1474	2.75	1.96429	A	Gypsy
9119	LTR-TE1475	3.14	2.24286	A	Gypsy
9120	LTR-TE1476	4.17	2.97857	A	Gypsy
9121	LTR-TE1477	2.82	2.01429	A	Gypsy
9122	LTR-TE1480	2.05	1.46429	A	Gypsy
9123	LTR-TE1482	2.77	1.97857	A	Gypsy
9124	LTR-TE1483	1.41	1.00714	A	Gypsy
9125	LTR-TE1485	3.91	2.79286	A	Gypsy
9126	LTR-TE1486	2.66	1.9	A	Gypsy
9127	LTR-TE1487	1.83	1.30714	A	Gypsy
9128	LTR-TE1488	1.93	1.37857	A	Gypsy
9129	LTR-TE1491	2.54	1.81429	A	Gypsy
9130	LTR-TE1495	0.86	0.614286	A	Gypsy
9131	LTR-TE1501	1.85	1.32143	A	Gypsy
9132	LTR-TE1503	3.49	2.49286	A	Gypsy
9133	LTR-TE1505	1.52	1.08571	A	Gypsy
9134	LTR-TE1513	1.21	0.864286	A	Gypsy
9135	LTR-TE1520	0.57	0.407143	A	Gypsy
9136	LTR-TE1521	1.60	1.14286	A	Gypsy
9137	LTR-TE1522	0.53	0.378571	A	Gypsy
9138	LTR-TE1523	2.69	1.92143	A	Gypsy
9139	LTR-TE1524	3.71	2.65	A	Gypsy
9140	LTR-TE1525	1.87	1.33571	A	Gypsy
9141	LTR-TE1526	6.76	4.82857	A	Gypsy
9142	LTR-TE1527	3.26	2.32857	A	Gypsy
9143	LTR-TE1529	1.12	0.8	A	Gypsy
9144	LTR-TE1530	3.38	2.41429	A	Gypsy
9145	LTR-TE1531	3.46	2.47143	A	Gypsy
9146	LTR-TE1532	1.48	1.05714	A	Gypsy
9147	LTR-TE1533	1.71	1.22143	A	Gypsy
9148	LTR-TE1534	1.54	1.1	A	Gypsy
9149	LTR-TE1537	2.81	2.00714	A	Gypsy
9150	LTR-TE1538	2.92	2.08571	A	Gypsy
9151	LTR-TE1539	2.73	1.95	A	Gypsy
9152	LTR-TE1542	4.87	3.47857	A	Gypsy
9153	LTR-TE1544	0.55	0.392857	A	Gypsy
9154	LTR-TE1546	2.56	1.82857	A	Gypsy
9155	LTR-TE1553	1.97	1.40714	A	Gypsy
9156	LTR-TE1554	2.18	1.55714	A	Gypsy
9157	LTR-TE1559	1.28	0.914286	A	Gypsy
9158	LTR-TE1560	2.05	1.46429	A	Gypsy
9159	LTR-TE1561	2.79	1.99286	A	Gypsy
9160	LTR-TE1562	4.07	2.90714	A	Gypsy
9161	LTR-TE1564	2.81	2.00714	A	Gypsy
9162	LTR-TE1565	2.60	1.85714	A	Gypsy
9163	LTR-TE1567	3.12	2.22857	A	Gypsy
9164	LTR-TE1569	10.96	7.82857	A	Gypsy
9165	LTR-TE1570	3.38	2.41429	A	Gypsy
9166	LTR-TE1572	4.68	3.34286	A	Gypsy
9167	LTR-TE1574	2.74	1.95714	A	Gypsy
9168	LTR-TE1575	1.16	0.828571	A	Gypsy
9169	LTR-TE1578	4.25	3.03571	A	Gypsy
9170	LTR-TE1582	0.86	0.614286	A	Gypsy
9171	LTR-TE1583	1.58	1.12857	A	Gypsy
9172	LTR-TE1584	1.17	0.835714	A	Gypsy
9173	LTR-TE1585	6.30	4.5	A	Gypsy
9174	LTR-TE1586	4.32	3.08571	A	Gypsy
9175	LTR-TE1587	3.57	2.55	A	Gypsy
9176	LTR-TE1588	0.22	0.157143	A	Gypsy
9177	LTR-TE1589	7.02	5.01429	A	Gypsy
9178	LTR-TE1590	0.19	0.135714	A	Gypsy
9179	LTR-TE1591	3.91	2.79286	A	Gypsy
9180	LTR-TE1592	2.50	1.78571	A	Gypsy
9181	LTR-TE1594	2.58	1.84286	A	Gypsy
9182	LTR-TE1596	2.00	1.42857	A	Gypsy
9183	LTR-TE1597	2.25	1.60714	A	Gypsy
9184	LTR-TE1598	0.87	0.621429	A	Gypsy
9185	LTR-TE1599	7.41	5.29286	A	Gypsy
9186	LTR-TE1601	2.99	2.13571	A	Gypsy
9187	LTR-TE1603	6.76	4.82857	A	Gypsy
9188	LTR-TE1605	7.08	5.05714	A	Gypsy
9189	LTR-TE1606	0.99	0.707143	A	Gypsy
9190	LTR-TE1607	1.06	0.757143	A	Gypsy
9191	LTR-TE1608	5.31	3.79286	A	Gypsy
9192	LTR-TE1609	5.37	3.83571	A	Gypsy
9193	LTR-TE1613	4.93	3.52143	A	Gypsy
9194	LTR-TE1614	1.20	0.857143	A	Gypsy
9195	LTR-TE1616	4.02	2.87143	A	Gypsy
9196	LTR-TE1618	7.74	5.52857	A	Gypsy
9197	LTR-TE1620	3.11	2.22143	A	Gypsy
9198	LTR-TE1622	3.48	2.48571	A	Gypsy
9199	LTR-TE1623	7.73	5.52143	A	Gypsy
9200	LTR-TE1624	7.31	5.22143	A	Gypsy
9201	LTR-TE1627	2.02	1.44286	A	Gypsy
9202	LTR-TE1628	7.61	5.43571	A	Gypsy
9203	LTR-TE1629	6.37	4.55	A	Gypsy
9204	LTR-TE1630	1.17	0.835714	A	Gypsy
9205	LTR-TE1632	6.51	4.65	A	Gypsy
9206	LTR-TE1634	2.59	1.85	A	Gypsy
9207	LTR-TE1635	0.40	0.285714	A	Gypsy
9208	LTR-TE1636	0.82	0.585714	A	Gypsy
9209	LTR-TE1638	1.87	1.33571	A	Gypsy
9210	LTR-TE1639	1.43	1.02143	A	Gypsy
9211	LTR-TE1640	6.62	4.72857	A	Gypsy
9212	LTR-TE1641	5.96	4.25714	A	Gypsy
9213	LTR-TE1642	6.85	4.89286	A	Gypsy
9214	LTR-TE1643	0.16	0.114286	A	Gypsy
9215	LTR-TE1644	7.47	5.33571	A	Gypsy
9216	LTR-TE1647	5.42	3.87143	A	Gypsy
9217	LTR-TE1648	2.39	1.70714	A	Gypsy
9218	LTR-TE1649	6.20	4.42857	A	Gypsy
9219	LTR-TE1650	0.82	0.585714	A	Gypsy
9220	LTR-TE1651	0.86	0.614286	A	Gypsy
9221	LTR-TE1652	1.07	0.764286	A	Gypsy
9222	LTR-TE1653	0.22	0.157143	A	Gypsy
9223	LTR-TE1654	0.60	0.428571	A	Gypsy
9224	LTR-TE1655	1.22	0.871429	A	Gypsy
9225	LTR-TE1656	6.85	4.89286	A	Gypsy
9226	LTR-TE1658	2.04	1.45714	A	Gypsy
9227	LTR-TE1659	6.82	4.87143	A	Gypsy
9228	LTR-TE1660	1.04	0.742857	A	Gypsy
9229	LTR-TE1661	10.13	7.23571	A	Gypsy
9230	LTR-TE1662	0.19	0.135714	A	Gypsy
9231	LTR-TE1663	4.72	3.37143	A	Gypsy
9232	LTR-TE1664	3.68	2.62857	A	Gypsy
9233	LTR-TE1665	4.91	3.50714	A	Gypsy
9234	LTR-TE1666	6.93	4.95	A	Gypsy
9235	LTR-TE1667	2.56	1.82857	A	Gypsy
9236	LTR-TE1668	1.17	0.835714	A	Gypsy
9237	LTR-TE1669	0.92	0.657143	A	Gypsy
9238	LTR-TE1670	0.65	0.464286	A	Gypsy
9239	LTR-TE1671	6.51	4.65	A	Gypsy
9240	LTR-TE1672	6.78	4.84286	A	Gypsy
9241	LTR-TE1673	0.69	0.492857	A	Gypsy
9242	LTR-TE1674	0.57	0.407143	A	Gypsy
9243	LTR-TE1676	5.90	4.21429	A	Gypsy
9244	LTR-TE1677	0.64	0.457143	A	Gypsy
9245	LTR-TE1678	4.20	3	A	Gypsy
9246	LTR-TE1679	0.70	0.5	A	Gypsy
9247	LTR-TE1680	0.06	0.0428571	A	Gypsy
9248	LTR-TE1681	0.52	0.371429	A	Gypsy
